class, ncloc, cloc, dc, testMethodsLoc, numberOfMethods, numberOfTestMethods, numberOfFunctionalMethods, rfc, wmc, gitFileAge, gitTotCommits
org.jfree.chart.axis.PeriodAxisLabelInfoTest, 86, 83, 0.4911242603550296, 84, 5, 5, 0, 10, 5, January/3/2022/6:42, 9
org.jfree.chart.labels.StandardCategoryItemLabelGeneratorTest, 60, 97, 0.6178343949044586, 58, 7, 7, 0, 14, 7, January/3/2022/6:42, 10
org.jfree.chart.labels.StandardCategoryToolTipGeneratorTest, 47, 89, 0.6544117647058824, 45, 6, 6, 0, 10, 6, January/3/2022/6:42, 9
org.jfree.chart.text.format.HMSNumberFormatTest, 11, 42, 0.7924528301886793, 9, 1, 1, 0, 2, 1, January/1/2022/2:44, 2
org.jfree.chart.axis.ValueAxisTest, 112, 101, 0.47417840375586856, 109, 4, 4, 0, 41, 4, January/3/2022/6:42, 9
org.jfree.chart.XYStepAreaChartTest$LocalListener, 6, 146, 0.9605263157894737, 0, 1, 0, 1, 0, 1, January/3/2022/6:42, 7
org.jfree.chart.LineChartTest$LocalListener, 6, 156, 0.9629629629629629, 0, 1, 0, 1, 0, 1, January/3/2022/6:42, 9
org.jfree.chart.plot.SpiderWebPlotTest, 172, 123, 0.41694915254237286, 151, 5, 4, 1, 43, 6, January/3/2022/6:42, 15
org.jfree.chart.entity.StandardEntityCollectionTest, 33, 67, 0.67, 31, 3, 3, 0, 9, 3, January/3/2022/6:42, 8
org.jfree.chart.renderer.category.LevelRendererTest, 82, 99, 0.5469613259668509, 60, 8, 6, 2, 22, 9, January/3/2022/6:42, 13
org.jfree.chart.renderer.category.MinMaxCategoryRendererTest, 57, 85, 0.5985915492957746, 43, 6, 5, 1, 16, 7, January/3/2022/6:42, 12
org.jfree.chart.renderer.xy.GradientXYBarPainterTest, 37, 60, 0.6185567010309279, 35, 4, 4, 0, 5, 4, January/3/2022/6:42, 8
org.jfree.chart.labels.MultipleXYSeriesLabelGeneratorTest, 45, 68, 0.6017699115044248, 43, 5, 5, 0, 10, 5, January/3/2022/6:42, 9
org.jfree.chart.renderer.xy.XYBlockRendererTest, 92, 94, 0.5053763440860215, 89, 9, 9, 0, 21, 9, January/3/2022/6:42, 12
org.jfree.chart.renderer.xy.XYDotRendererTest, 76, 77, 0.5032679738562091, 74, 6, 6, 0, 19, 6, January/3/2022/6:42, 12
org.jfree.chart.plot.CombinedRangeXYPlotTest, 126, 115, 0.47717842323651455, 41, 9, 5, 4, 30, 9, January/3/2022/6:42, 15
org.jfree.chart.axis.SymbolAxisTest, 41, 56, 0.5773195876288659, 39, 3, 3, 0, 10, 3, January/3/2022/6:42, 8
org.jfree.chart.axis.TickUnitsTest, 24, 56, 0.7, 22, 3, 3, 0, 7, 3, January/3/2022/6:42, 7
org.jfree.chart.block.ColumnArrangementTest, 33, 67, 0.67, 31, 3, 3, 0, 4, 3, January/3/2022/6:42, 8
org.jfree.chart.axis.AxisSpaceTest, 38, 58, 0.6041666666666666, 36, 3, 3, 0, 11, 3, January/3/2022/6:42, 4
org.jfree.chart.entity.TickLabelEntityTest, 31, 60, 0.6593406593406593, 29, 3, 3, 0, 10, 3, January/3/2022/6:42, 8
org.jfree.chart.plot.MeterPlotTest, 114, 103, 0.47465437788018433, 112, 4, 4, 0, 29, 4, January/3/2022/6:42, 9
org.jfree.chart.axis.CategoryTickTest, 63, 64, 0.5039370078740157, 61, 4, 4, 0, 9, 4, January/3/2022/6:42, 9
org.jfree.chart.renderer.category.GroupedStackedBarRendererTest, 75, 83, 0.5253164556962026, 57, 6, 5, 1, 16, 7, January/3/2022/6:42, 11
org.jfree.chart.LegendItemTest, 107, 208, 0.6603174603174603, 105, 4, 4, 0, 15, 4, January/3/2022/6:42, 12
