file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\plot\dial\ArcDialFrameTest.java,org.jfree.chart.plot.dial.ArcDialFrameTest,class,4,4,0,4,4,1,0,20,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,63,0,0,0,0,0,0,26,11,0,11,0,0,0,0,54,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\entity\CategoryLabelEntityTest.java,org.jfree.chart.entity.CategoryLabelEntityTest,class,3,3,0,3,3,1,0,10,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,22,32,8,0,6,0,0,0,0,32,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\block\AbstractBlockTest.java,org.jfree.chart.block.AbstractBlockTest,class,5,5,0,5,4,1,0,17,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,68,0,0,0,1,0,2,56,12,0,7,1,0,0,0,41,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\RangeTest.java,org.jfree.data.RangeTest,class,3,3,0,3,18,1,0,21,72,0.7692308,0.012820513,0.012820513,13,0,13,0,0,0,13,0,0,0,1,1,0,1,0,0,1,0,4,199,0,0,0,5,0,5,193,60,0,29,1,0,0,0,85,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\renderer\category\LineAndShapeRendererTest.java,org.jfree.chart.renderer.category.LineAndShapeRendererTest,class,12,13,1,12,20,1,0,32,28,0.0,0.0,0.0,8,0,7,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,156,13,0,0,0,0,21,39,19,0,19,1,0,0,0,89,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\gantt\TaskTest.java,org.jfree.data.gantt.TaskTest,class,4,4,0,4,4,1,0,13,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,49,0,0,0,0,0,12,31,8,0,8,0,0,0,0,40,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\plot\compass\ArrowNeedleTest.java,org.jfree.chart.plot.compass.ArrowNeedleTest,class,3,3,0,3,3,1,0,7,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,8,0,6,0,0,0,0,32,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\DomainOrderTest.java,org.jfree.data.DomainOrderTest,class,3,3,0,3,3,1,0,5,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,6,0,6,0,0,0,0,33,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\axis\SubCategoryAxisTest.java,org.jfree.chart.axis.SubCategoryAxisTest,class,5,5,0,5,6,1,0,18,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,56,0,0,0,1,0,17,8,14,0,14,1,0,0,0,66,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\renderer\xy\StandardXYBarPainterTest.java,org.jfree.chart.renderer.xy.StandardXYBarPainterTest,class,4,4,0,4,4,1,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,0,0,9,0,9,0,0,0,0,47,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\statistics\RegressionTest.java,org.jfree.data.statistics.RegressionTest,class,6,7,1,6,14,1,0,6,45,0.0,0.0,0.0,10,0,8,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,120,2,4,0,0,0,4,198,72,0,30,1,0,0,0,58,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\plot\DefaultDrawingSupplierTest.java,org.jfree.chart.plot.DefaultDrawingSupplierTest,class,3,3,0,3,3,1,0,12,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,83,0,0,0,0,0,0,36,38,0,26,0,0,0,0,49,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\time\TimeSeriesTest.java,org.jfree.data.time.TimeSeriesTest,class,13,13,0,13,60,1,0,46,880,0.8863637,0.10887949,0.10887949,44,0,44,0,0,0,44,0,0,0,3,1,0,3,0,0,1,0,13,694,0,0,0,14,0,51,599,126,0,96,1,0,0,0,230,1,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\chart\block\EmptyBlockTest.java,org.jfree.chart.block.EmptyBlockTest,class,3,3,0,3,4,1,0,9,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,1,0,0,16,11,0,6,1,0,0,0,34,1,0
