class, ncloc, cloc, dc, testMethodsLoc, numberOfMethods, numberOfTestMethods, numberOfFunctionalMethods, rfc, wmc, gitFileAge, gitTotCommits
org.jfree.chart.renderer.xy.WindItemRendererTest, 31, 63, 0.6702127659574468, 29, 5, 5, 0, 8, 5, January/3/2022/6:42, 8
org.jfree.chart.imagemap.ImageMapUtilsTest, 41, 66, 0.616822429906542, 39, 5, 5, 0, 7, 5, January/1/2022/2:44, 6
org.jfree.chart.imagemap.StandardURLTagFragmentGeneratorTest, 8, 52, 0.8666666666666667, 6, 1, 1, 0, 2, 1, January/1/2022/2:44, 3
org.jfree.chart.renderer.xy.DeviationStepRendererTest, 36, 64, 0.64, 34, 5, 5, 0, 10, 5, January/3/2022/6:42, 5
org.jfree.chart.text.format.HMSNumberFormatTest, 11, 42, 0.7924528301886793, 9, 1, 1, 0, 2, 1, January/1/2022/2:44, 2
org.jfree.chart.axis.TickUnitsTest, 24, 56, 0.7, 22, 3, 3, 0, 7, 3, January/3/2022/6:42, 7
org.jfree.chart.block.ColumnArrangementTest, 33, 67, 0.67, 31, 3, 3, 0, 4, 3, January/3/2022/6:42, 8
org.jfree.chart.labels.BoxAndWhiskerToolTipGeneratorTest, 38, 73, 0.6576576576576577, 36, 5, 5, 0, 9, 5, January/3/2022/6:42, 9
org.jfree.chart.urls.StandardCategoryURLGeneratorTest, 39, 67, 0.6320754716981132, 37, 4, 4, 0, 6, 4, January/3/2022/6:42, 8
org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGeneratorTest, 7, 54, 0.8852459016393442, 5, 1, 1, 0, 2, 1, January/1/2022/2:44, 3
org.jfree.data.xy.VectorTest, 33, 59, 0.6413043478260869, 31, 4, 4, 0, 5, 4, January/3/2022/6:42, 6
org.jfree.chart.renderer.xy.DeviationRendererTest, 36, 64, 0.64, 34, 5, 5, 0, 10, 5, January/3/2022/6:42, 8
org.jfree.chart.plot.MeterIntervalTest, 21, 69, 0.7666666666666667, 19, 3, 3, 0, 4, 3, January/3/2022/6:42, 7
org.jfree.data.statistics.MeanAndStandardDeviationTest, 25, 54, 0.6835443037974683, 23, 3, 3, 0, 4, 3, January/3/2022/6:42, 6
org.jfree.chart.LegendItemCollectionTest, 32, 77, 0.7064220183486238, 30, 3, 3, 0, 10, 3, January/3/2022/6:42, 11
org.jfree.data.time.FixedMillisecondTest, 25, 62, 0.7126436781609196, 23, 4, 4, 0, 6, 4, January/3/2022/6:42, 6
org.jfree.chart.block.BlockBorderTest, 25, 68, 0.7311827956989247, 23, 3, 3, 0, 4, 3, January/3/2022/6:42, 11
org.jfree.chart.labels.StandardCategorySeriesLabelGeneratorTest, 44, 77, 0.6363636363636364, 42, 6, 6, 0, 12, 6, January/3/2022/6:42, 10
org.jfree.chart.renderer.xy.StandardXYBarPainterTest, 25, 62, 0.7126436781609196, 23, 4, 4, 0, 4, 4, January/3/2022/6:42, 8
org.jfree.chart.labels.SymbolicXYItemLabelGeneratorTest, 30, 66, 0.6875, 28, 5, 5, 0, 8, 5, January/3/2022/6:42, 9
org.jfree.chart.labels.IntervalCategoryItemLabelGeneratorTest, 38, 79, 0.6752136752136753, 36, 5, 5, 0, 10, 5, January/3/2022/6:42, 8
org.jfree.chart.title.ShortTextTitleTest, 31, 59, 0.6555555555555556, 29, 4, 4, 0, 9, 4, January/3/2022/6:42, 7
org.jfree.chart.annotations.XYDrawableAnnotationTest, 69, 108, 0.6101694915254238, 49, 5, 5, 0, 9, 5, January/3/2022/6:42, 9
